"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on Robot Path Planning Technology by Integrating Particle Swarm Optimization Algorithm and DWA Algorithm","S. Fu; H. Huang; S. Wang","University of Sanya, Sanya, Hainai, China; University of Sanya, Sanya, Hainai, China; University of Sanya, Sanya, Hainai, China","2024 10th International Conference on Control, Automation and Robotics (ICCAR)","28 Jun 2024","2024","","","147","152","Path planning technology is one of the key technologies for robots to achieve autonomous navigation and complete transportation tasks. This article mainly analyzes and studies two commonly used intelligent bio-inspired path planning algorithms: Particle Swarm Optimization (PSO) algorithm and Dynamic Window Approach (DWA) algorithm. We have made improvements and optimizations to both algorithms, and designed a fusion algorithm that combines their advantages. The paper focuses on studying the global path of the PSO algorithm, followed by research on the local path using the DWA algorithm. Finally, we tested the improved PSO-DWA fusion algorithm using MATLAB. The test results show that this fusion algorithm can obtain the global optimal path by utilizing known global information while effectively avoiding unknown dynamic obstacles. It can better accomplish path planning tasks in practical situations with superior performance, improve robot safety during task execution, and ensure subsequent execution efficiency.","2251-2454","979-8-3503-7317-2","10.1109/ICCAR61844.2024.10569525","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10569525","Path planning;Particle swarm algorithm;DWA;Fusion algorithm;Intelligent biomimetic path","Heuristic algorithms;Transportation;Search problems;Path planning;Robustness;Safety;Task analysis","","3","","14","IEEE","28 Jun 2024","27-29 April 2024","27-29 April 2024","IEEE","IEEE Conferences"
"Collaborative Path Planning Arithmetic for Multi Robot System of Power Intelligent Inspection Based on Particle Swarm Optimization","K. Qiu; Z. Wang; G. Chen; M. Fang; Z. Zhang","Beijing Branch, State Grid Information & Telecommunication Group, Beijing, China; Beijing Branch, State Grid Information & Telecommunication Group, Beijing, China; Beijing Branch, State Grid Information & Telecommunication Group, Beijing, China; Beijing Branch, State Grid Information & Telecommunication Group, Beijing, China; Beijing Branch, State Grid Information & Telecommunication Group, Beijing, China","2023 International Conference on Networking, Informatics and Computing (ICNETIC)","6 Sep 2023","2023","","","639","644","As an artificial system, multi robot system is actually a simulation of the group system in nature and human society. Multi robot path planning is to find a collision free approximate optimal path for each robot in the same workspace, and ensure that each robot can reach the target position safely at the minimum cost. In this article, a collaborative path planning arithmetic based on POS (Particle swarm optimization) is proposed for power intelligent inspection multi robot system. The working environment is scanned by laser sensors, and then the multi robot path planning problem is decomposed into several single robot path planning problems by using PSO arithmetic. Each sub population optimizes one robot individually. Select representative individuals from each sub population to coordinate information interaction, and then select elite individuals as the path of multi robot system optimization. Finally, the simulation test and analysis are carried out. The simulation results show that the proposed arithmetic has a certain accuracy, which is 8.96% higher than the traditional arithmetic. Intelligent patrol multi robot system plays an increasingly important role in the operation and maintenance of primary and secondary equipment and patrol inspection of substation due to its diversified detection means, flexible, objective and intelligent detection. With the help of patrol inspection multi robots, the operation and maintenance cost of substation is further reduced and the automation management level of power grid equipment is enhanced.","","979-8-3503-1331-4","10.1109/ICNETIC59568.2023.00137","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10236822","POS;Patrol multi robot;Path planning","Substations;Robot kinematics;Sociology;Inspection;Robot sensing systems;Path planning;Statistics","","3","","11","IEEE","6 Sep 2023","29-31 May 2023","29-31 May 2023","IEEE","IEEE Conferences"
"Development of a Multi-Robot Model for Target Identification and Tracking in Hostile Environments Using Particle Swarm Optimization Technique","I. Opara; M. O. Onibonoje","Dept of Electrical/Electronics & Computer Engineering, Afe Babalola University, Ado Ekiti, Nigeria; Dept of Electrical/Electronics & Computer Engineering, Afe Babalola University, Ado Ekiti, Nigeria",2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),"24 Mar 2025","2024","","","1","5","The need for efficient path planning in robotics gave rise to the conception of different approaches towards its achievement. One of the many approaches that have been discovered is Particle Swarm Optimization (PSO). In this paper, Particle Swarm Optimization was used to develop a model for target identification and tracking in hostile environments using a multi-robot system. The PSO algorithm adopted was tested in a simulated environment with three obstacles and twenty robots. The performance of the algorithm was evaluated based on some metrics such as robustness, trajectory smoothness and computational time. MATLAB 2018a was used for the simulation process. At the end of the simulation, a downward sloping convergence curve with relative trajectory smoothness was gotten, which shows that the robots successfully navigated the search space toward the target, thus proving the efficiency of the algorithm. This efficiency was also demonstrated by the good performance metrics results gotten at the end of the iteration process. The results show that the algorithm is rather promising and provides an effective path planning method.","2377-2697","979-8-3315-4255-9","10.1109/NIGERCON62786.2024.10927150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10927150","multi-robot system;path planning;hostile environments;obstacles;particle swarm optimization (PSO)","Measurement;Target tracking;Production;Mathematical models;Robustness;Trajectory;Multi-robot systems;Particle swarm optimization;Robots;Convergence","","","","18","IEEE","24 Mar 2025","26-28 Nov. 2024","26-28 Nov. 2024","IEEE","IEEE Conferences"
"A Path Planing Algorithm for Mobile Robot Based on Particle Swarm","C. -L. Li; N. Wang; J. -F. Wang; S. -y. Xu","The 723 Research Institute of CSSC, Yangzhou, China; The 723 Research Institute of CSSC, Yangzhou, China; The 723 Research Institute of CSSC, Yangzhou, China; The 723 Research Institute of CSSC, Yangzhou, China",2023 2nd International Symposium on Control Engineering and Robotics (ISCER),"3 Oct 2023","2023","","","319","322","Aiming at known global static environment, this paper conducts research on path planning strategy for mobile robot from the aspect of single robot. One stepwise path planning method is proposed as follows. Model of robot operation space is established through link graph at first, then the shortest path of link graph is obtained by graph theory algorithm. Particle Swarm Optimization algorithm is employed to optimize the obtained path so as to achieve global optimal path at last. Simulation results show that the proposed method can accomplish the planning of robot moving path from the from the start state to target state at short length without any collision. The proposed method is simple and feasible, able to satisfy high real-time requirement of mobile robot navigation, which provides a satisfactory solution for robot path planning.","","979-8-3503-3640-5","10.1109/ISCER58777.2023.00064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10266254","component;Mobile robot;path planning;Particle Swarm Optimization (PSO)","Planing;Simulation;Aerospace electronics;Path planning;Graph theory;Real-time systems;Planning","","5","","6","IEEE","3 Oct 2023","17-19 Feb. 2023","17-19 Feb. 2023","IEEE","IEEE Conferences"
"Decentralized Multi-Robot Systems: Harnessing Swarm Intelligence for Autonomous Operations","P. L. N. P. Kumar; K. K. Sujana","Department of Artificial Intelligence and Machine Learning, Vishnu Institute of Technology (Affiliated to JNTUK, Kakinada), Bhimavaram, India; Department of Artificial Intelligence and Machine Learning, Vishnu Institute of Technology (Affiliated to JNTUK, Kakinada), Bhimavaram, India","2025 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)","29 Dec 2025","2025","","","1","6","Swarm intelligence, inspired by the collective behavior of biological organisms such as ants and bees, has emerged as a promising approach for decentralized decisionmaking in robotics. This study investigates the application of bio-inspired swarm intelligence in autonomous multi-robot systems, emphasizing adaptability, scalability, and selforganization. A novel framework is developed, integrating artificial intelligence techniques with swarm-based algorithms to enhance coordination and problem-solving capabilities. The methodology involves implementing ant colony optimization and particle swarm optimization to improve navigation, task allocation, and cooperative behavior in robotic systems. Experimental evaluations demonstrate that decentralized swarm-based decisionmaking enhances system robustness, efficiency, and fault tolerance compared to traditional centralized models. The findings highlight the potential of swarm intelligence in enabling intelligent and scalable robotic networks, contributing to advancements in autonomous robotics and multi-agent systems.","2766-2101","979-8-3315-0236-2","10.1109/CONECCT65861.2025.11306782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11306782","Swarm Intelligence;Decentralized DecisionMaking;Autonomous Multi-Robot Systems;Self-Organization;Fault Tolerance;Ant Colony Optimization;Particle Swarm Optimization;Robotic Networks","Ant colony optimization;Fault tolerance;Robot kinematics;Scalability;Fault tolerant systems;Swarm robotics;Robustness;Resource management;Problem-solving;Particle swarm optimization","","","","16","IEEE","29 Dec 2025","10-13 July 2025","10-13 July 2025","IEEE","IEEE Conferences"
"Impedance Control of Industrial Robot Based on Multi-Directional Particle Swarm Optimization","H. Li; X. Hu; X. Zhang; F. Zeng","School of Mechanical Engineering, Sichuan University, Chengdu, China; School of Mechanical Engineering, Sichuan University, Chengdu, China; School of Mechanical Engineering, Sichuan University, Chengdu, China; School of Mechanical Engineering, Sichuan University, Chengdu, China","2024 8th International Conference on Automation, Control and Robots (ICACR)","3 Jul 2025","2024","","","126","131","The effectiveness of impedance control is significantly influenced by the appropriateness of the settings for impedance parameters. In This paper, a new multi-directional particle swarm optimization (MDPSO) algorithm is proposed to obtain the optimal impedance parameters for precise force tracking during the movement of industrial robot. Firstly, the position-based impedance controller between the industrial robot and its environment is established, and the difference of the contact force is used as input to the controller to obtain the desired trajectory. Then, enhancements to the particle swarm optimization (PSO) algorithm are introduced by adding additional optimization directions, thus developing multi-directional particle swarm optimization algorithm. The MDPSO algorithm determines the best individuals in terms of response speed, steady state error, oscillations and overshoot as additional directional data to improve the efficiency during the iterative process. Furthermore, the algorithm incorporates mutation operation on the particles to avoid falling into local optimum. The simulation results demonstrate that the MDPSO algorithm surpasses the traditional PSO algorithm in both convergence speed and accuracy. Additionally, experimental results show that excellent force tracking performance can be observed when the parameters derived from the MDPSO algorithm are applied for impedance controller.","","979-8-3503-5244-3","10.1109/ICACR62205.2024.11053722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11053722","impedance control;force tracking;particle swarm optimization","Simulation;Force;Industrial robots;Steady-state;Trajectory;Impedance;Particle swarm optimization;Oscillators;Optimization;Convergence","","","","13","IEEE","3 Jul 2025","1-3 Nov. 2024","1-3 Nov. 2024","IEEE","IEEE Conferences"
"Path Planning of Service Robot Based on Improved Particle Swarm Optimization Algorithm","X. Zhan; Z. Chen","Department of Robot Engineering, AnHui Sanlian University, Hefei, China; Department of Robot Engineering, AnHui Sanlian University, Hefei, China",2023 4th International Symposium on Computer Engineering and Intelligent Communications (ISCEIC),"9 Oct 2023","2023","","","244","248","In recent years, people’s lives have become more and more intelligent, and service robots have appeared in all aspects of people’s lives. It brings a lot of convenience for people’s quick life. The service robot must first ensure that it can accurately reach its destination. As one of the core contents of robot technology, path planning has important practical value and research significance. Therefore, the design of efficient algorithm to solve the path planning problem plays a key role in improving the robot technology. In this paper, an improved particle swarm optimization (PSO) algorithm is applied to the path planning of service robots. First of all, the irregular obstacles are handled by using an external circle to avoid the situation that the robot can not walk out of the deadlock area. For the particle swarm optimization (PSO), the linear decline strategy is used to deal with the inertia weight w, which makes the PSO have strong global convergence ability in the early stage and strong local convergence ability in the later stage. The shrinkage factor is introduced to ensure the convergence of the algorithm. At the same time, the selection mechanism and variation mechanism of genetic algorithm are integrated into PSO algorithm, and the PSO algorithm can jump out of the local optimal and accurately find the global optimal.","","979-8-3503-0632-3","10.1109/ISCEIC59030.2023.10271235","Anhui University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271235","PSO;path planning;robot;genetic algorithm","Service robots;Heuristic algorithms;Robot kinematics;System recovery;Search problems;Path planning;Mathematical models","","3","","10","IEEE","9 Oct 2023","18-20 Aug. 2023","18-20 Aug. 2023","IEEE","IEEE Conferences"
"Stable grasping control of robot based on particle swarm optimization","L. Ye; D. Zheng","School of Information Technology and Engineering, Guangzhou College of Commerce, Guangzhou, China; School of Information Technology and Engineering, Guangzhou College of Commerce, Guangzhou, China","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering (ICBAIE)","2 Apr 2021","2021","","","1020","1024","In order to improve the compensation and stability control ability of handling robot's stable grasping and positioning control, a method of stable grasping and positioning control for handling robot based on particle swarm optimization is proposed. Combining visual information fusion and sensitive sensor information fusion, the constraint parameters of stable grasping control for handling robot are analyzed, and sensitive mechanical sensors are used to collect and identify the information of grasping posture parameters of handling robot. The feature quantity of spatial distribution information of grasping posture parameters of the handling robot is extracted, and the compensation and optimization control of posture parameters in the process of grasping posture determination of the handling robot are carried out by using the particle swarm optimization control method. The adaptive positioning error compensation and feedback correction method are combined to carry out particle optimization parameter fusion and optimal solution analysis in the process of grasping posture determination of the handling robot, and the adaptive parameter correction and error feedback fusion method are combined to realize stable grasping positioning control of the handling robot. The simulation results show that the output stability of this method is better and the positioning error is lower, which improves the output stability of the handling robot in the grasping process.","","978-1-6654-1540-8","10.1109/ICBAIE52039.2021.9390056","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9390056","component;Particle Swarm Optimization;Robot;Stability;Grab;control","Visualization;Process control;Grasping;Robot sensing systems;Stability analysis;Particle swarm optimization;Optimization","","2","","10","IEEE","2 Apr 2021","26-28 March 2021","26-28 March 2021","IEEE","IEEE Conferences"
"Path Planning for Inspection Robots Based on an Improved Particle Swarm Optimization Algorithm","X. Yan; C. Wang","Inner Mongolia Kedian Electric Co., Ltd., Hohhot, China; Inner Mongolia Kedian Electric Co., Ltd., Hohhot, China",2025 International Conference on Intelligent Robotics and Automatic Control (IRAC),"16 Feb 2026","2025","","","78","81","To address path planning challenges for inspection robots, this paper proposes an improved particle swarm optimization (PSO) algorithm that combines cubic spline interpolation function optimization with a dynamic inertia weight adjustment strategy. Building upon the standard PSO approach, cubic spline optimization transforms the path in simulation results from a polygonal line into a smooth curve, thereby achieving a smaller optimal distance value. Simultaneously, when interpolation points along the path collide with obstacles in the map, a substantial penalty is added to the optimal distance value, thereby achieving obstacle avoidance. Regarding the core formula of the PSO algorithm itself, the particle swarm algorithm is enhanced through dynamically adjusting the inertial weight. Four distinct strategies are employed to modify the inertial weight, yielding corresponding simulation results. Finally, simulation experiments were conducted using standard PSO and the four improved PSO algorithms for path planning. Based on the corresponding data, an evaluation system for the algorithms was established to determine the optimal path planning algorithm.","","979-8-3315-9244-8","10.1109/IRAC67707.2025.11381210","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11381210","path planning;particle swarm optimization algorithm;cubic spline interpolation;dynamic adjustment of inertia weight","Interpolation;Heuristic algorithms;Simulation;Path planning;Splines (mathematics);Particle swarm optimization;Collision avoidance;Standards;Robots;Optimization","","","","9","IEEE","16 Feb 2026","28-30 Nov. 2025","28-30 Nov. 2025","IEEE","IEEE Conferences"
"A Distributed Multi-Robot Path Planning Algorithm for Searching Multiple Hidden Targets","L. Zhang; J. Qi",Donghua University; Donghua University,"2022 International Conference on Image Processing, Computer Vision and Machine Learning (ICICML)","12 Jan 2023","2022","","","513","516","This paper proposes a new distributed multi-robot path planning algorithm based on fuzzy logic control and reinforcement learning, which can navigate for robots searching for hidden targets in unknown environment. The algorithm is composed of two controllers, a fuzzy logic controller based on multiple behavior coordination strategy and a policy controller based on deep reinforcement learning. The first controller is used for roaming search to find the hidden targets, and the role of the second controller is to navigate from the current position to the targets. To check the performance of the algorithm, we simulate it in simulation environment built in the CoppeliaSim simulation software and implemented by e-Puck robots. The simulation results demonstrate the effectiveness of the proposed method.","","978-1-6654-6468-0","10.1109/ICICML57342.2022.10009821","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10009821","distributed multi-robot path planning;fuzzy logic control;deep reinforcement learning;CoppeliaSim","Fuzzy logic;Navigation;Robot kinematics;Software algorithms;Reinforcement learning;Search problems;Path planning","","2","","15","IEEE","12 Jan 2023","28-30 Oct. 2022","28-30 Oct. 2022","IEEE","IEEE Conferences"
"A New Algorithm For Robot Path Planning Based On Automatic Shunting Of Ants And Particle Swarms","G. Haitao; Z. Xugang; S. Chuanling; Q. Jilin","Information Technology College, Shandong Institute of Commerce And Technology, ShangDong JiNan, China; Information Technology College, Shandong Institute of Commerce And Technology, ShangDong JiNan, China; Information Technology College, Shandong Institute of Commerce And Technology, ShangDong JiNan, China; Information Technology College, Shandong Institute of Commerce And Technology, ShangDong JiNan, China","2021 4th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)","19 Aug 2021","2021","","","380","384","This paper proposes a new robot path planning algorithm which is a fusion algorithm of automatic shunt ant and particle swarm algorithm. In the first step, the robot motion space model is described by the grid method, in the second step, the global navigation path is planned by the automatic shunting ant algorithm, and the third step is the particle swarm algorithm for local search and tuning to obtain the best path. Experiments show that the algorithm is very effective.","","978-1-6654-1596-5","10.1109/AEMCSE51986.2021.00085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9513203","path planning;automatic shunting;ant algorithm;particle swarm algorithm","Robot motion;Computers;Navigation;Software algorithms;Path planning;Particle swarm optimization;Robots","","","","13","IEEE","19 Aug 2021","26-28 March 2021","26-28 March 2021","IEEE","IEEE Conferences"
"Multi-robot Path Planning using Modified Particle Swarm Optimization","Y. L. Poy; S. Darmaraju; B. -H. Kwan","Department of Mechatronics and Biomedical Engineering, Lee Kong Chian Faculty of Engineering and Science Universiti Tunku Abdul Rahman, Selangor, Malaysia; Department of Mechatronics and Biomedical Engineering, Lee Kong Chian Faculty of Engineering and Science Universiti Tunku Abdul Rahman, Selangor, Malaysia; Department of Mechatronics and Biomedical Engineering, Lee Kong Chian Faculty of Engineering and Science Universiti Tunku Abdul Rahman, Selangor, Malaysia",2023 IEEE International Conference on Automatic Control and Intelligent Systems (I2CACIS),"31 Jul 2023","2023","","","225","230","Multi-robot path planning in a shared environment is a critical research area in robotics. The objective is to find a collision-free path for each robot to reach its destination while optimizing various performance metrics. This paper proposes a novel multi-robot path planning algorithm based on Modified Particle Swarm Optimization (MPSO). The proposed MPSO algorithm introduces a new path planning scheme for determining the robot’s waypoints. Unlike the standard PSO algorithm, which initializes the particle swarm at the robot’s starting position and iteratively determines each waypoint until a completed path is generated, the MPSO algorithm initializes the particle swarm within a predefined search space and searches for the global best position within it to determine a specific robot waypoint through iteration updates. Moreover, a combination of global and local path planning methods is introduced to cope with a dynamic environment. The PSO algorithm functions as a global path planner, determining the complete path for each robot, whereas an obstacle avoidance algorithm serves as a local planner to avoid collision with dynamic obstacles during navigation. This study compares the performance of MPSO with normal PSO using MATLAB simulations in two scenarios. The results demonstrate MPSO’s superiority in terms of total path length and execution time.","","979-8-3503-2130-2","10.1109/I2CACIS57635.2023.10193290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10193290","multi-robot path planning;obstacle detection and avoidance;particle swarm optimization;path length","Measurement;Navigation;Heuristic algorithms;Path planning;Collision avoidance;Particle swarm optimization;Intelligent systems","","4","","27","IEEE","31 Jul 2023","17-17 June 2023","17-17 June 2023","IEEE","IEEE Conferences"
